id,manufacturer,model,year,gearbox_type,operating_hours,fuel_type,registration_fees,efficiency,engine_capacity,price
KLbmH3ej7SqGtgiAeCCSzg,F,F_5,2017,Automatic,3620,Petrol,145,67.0,1.0,8500
7RXmiuUnmgXpRP2aMvpQvg,I,I_4,2019,Semi-Auto,3393,Petrol,145,29.5,3.0,59812
djEAH3eEjTNi9kB5tdqyZ2,A,A_1,2019,Automatic,2671,Petrol,145,51.4,1.4,16999
Zr4BmbgnVvCiu2kzJKnWT2,B,B_6,2019,Semi-Auto,3633,Petrol,145,30.4,2.0,33790
in2F32L5vcnWJNfmAyKD6U,F,F_5,2014,Manual,13085,Petrol,0,65.7,1.0,5273
VzxP8iBCKCabbJMyLmL4Gu,I,I_8,2018,Semi-Auto,10465,Diesel,145,56.5,2.1,28390
cU4qAJpNUxQ33dXDHiFAN7,C,C_1,2019,Manual,2500,Petrol,145,47.1,1.5,17390
oWTPxTTmdH2kpnCTgTF6vU,A,A_5,2019,Manual,4127,Petrol,145,47.1,1.2,13498
HEasvd9GsnpBVMukJtRygo,B,B_4,2019,Semi-Auto,14,Diesel,145,62.8,2.0,23890
cPfyYZfpkhzjZSZEFnP9qy,B,B_2,2020,Semi-Auto,5000,Petrol,145,42.8,1.5,24980
KkkDaZEkq7QtrHETPVAaME,B,B_7,2016,Automatic,20000,Diesel,135,56.5,3.0,16500
NFEuKNgjMLWdYTuTHnYJs2,B,B_14,2020,Semi-Auto,1075,Petrol,150,26.4,3.0,54975
Yu6PZRV9nCK5ZsMmupSsAT,E,E_3,2016,Manual,24259,Diesel,20,70.6,2.0,12300
CW9v7wHDzJyXRQi8cp3Hd3,G,G_0,2013,Manual,70400,Diesel,0,76.4,1.5,5500
e3YB5svorAeetqrP2QeAar,A,A_4,2019,Manual,9411,Petrol,145,39.2,1.4,12998
SeJwnYP8L4atS2oYoGeEo4,B,B_7,2019,Semi-Auto,4050,Petrol,145,47.9,2.0,23295
4w4XBhvqPHsGcpgbrbyFPf,G,G_0,2015,Semi-Auto,20920,Petrol,150,47.9,1.6,8990
VXQnzodcSYUovivjGQpfAB,E,E_2,2017,Automatic,24885,Petrol,145,38.7,3.0,24750
WHHTm7Lq8sh2KHRzvGai9D,C,C_5,2015,Manual,29534,Diesel,150,53.3,2.0,12001
WiJDLKDoyGcnuASbVExGQV,G,G_0,2014,Manual,42012,Petrol,0,65.7,1.0,5999
JV8MAMoaoC7PZF9BME8Rqh,F,F_3,2014,Automatic,46344,Hybrid,0,86.0,1.5,9595
JeLPZe6LXWtKAdzyMqTNv7,E,E_3,2016,Semi-Auto,37709,Petrol,200,40.4,2.0,23232
eSxhXv8jkwddVxGsyo79Cy,D,D_6,2018,Automatic,35876,Hybrid,135,78.5,1.6,13995
ZmFDMJmPwYEkf2YPUaGidT,E,E_0,2013,Semi-Auto,49447,Petrol,125,53.3,1.4,8999
8GqoFB8ZiMYZFVSQRYnY9p,C,C_1,2016,Automatic,36670,Diesel,20,58.9,1.6,11399
9HXJbZmtFx6KV6wM42Nufb,G,G_0,2018,Manual,16975,Diesel,145,88.3,1.5,12490
MVEEcf6o32uo7nvvefoNPt,C,C_7,2017,Manual,19809,Petrol,20,64.2,1.0,7995
6Z56P8oWTsiNDxVogeakzn,G,G_0,2018,Manual,11350,Petrol,145,58.9,1.0,12250
4Xj5gKiRj2LYxHwwRoJx4s,G,G_1,2016,Automatic,3255,Petrol,145,46.3,1.5,14500
UmptAvAXs5SGc62ES6HoPd,F,F_3,2019,Manual,9900,Petrol,150,49.6,1.0,9999
M47MoLKDw6Y32WJzTEuvGW,C,C_18,2017,Manual,35001,Diesel,205,47.1,2.0,19998
47ZXh83xs5kbW4vAoo88ia,E,E_5,2016,Semi-Auto,38197,Diesel,200,47.1,2.0,20500
KcjUmTmk4B3wHwtwQxnFyd,I,I_6,2020,Manual,16,Petrol,145,28.5,1.3,24980
D4qg6dtftdzWp2iAqAQiB8,B,B_7,2013,Manual,65001,Diesel,20,68.9,2.0,8399
JB3zgWJzK7RA6xMRCKDFUa,A,A_12,2015,Manual,65201,Diesel,0,76.3,2.0,6999
iqKTNiji3jp8DAxdxXYK7E,G,G_4,2018,Manual,12667,Diesel,145,68.9,1.5,11899
JuRXsmKgNkujTzyDXPVYZT,I,I_7,2015,Semi-Auto,13008,Diesel,20,68.9,2.1,13250
